Simulating with radius 7.900000, coefficient of restitution 0.900000, 		6 sides, 13 num swirls
36,-0.08920272515251404
38.5,-0.09917787779732348
41,-0.1056277059669037
43.5,-0.1131080773336464
46,-0.1166716473175229
48.5,-0.1207965258101473
51,-0.1210376040975671
53.5,-0.1229339955618152
56,-0.1271044593287631
58.5,-0.1298865628155415
61,-0.1352475088150766
63.5,-0.1407202000518181
66,-0.1458149763022682
68.5,-0.1499957770490564
71,-0.1554570922978841
73.5,-0.1606882976508663
76,-0.1677909865465324
78.5,-0.1751185431701037
81,-0.1824377510916444
83.5,-0.1847819478240395
86,-0.1831050824068151
88.5,-0.1840866820323052
91,-0.1935230018677006
93.5,-0.1989121189280949
96,-0.2025075957449504
98.5,-0.204478690935385
101,-0.2018206088485028
103.5,-0.1965740194974839
106,-0.1936898247269425
108.5,-0.1901299107636936
111,-0.1858061627529141
113.5,-0.179274809590271
116,-0.1627663142260294
118.5,-0.1506937526855303
121,-0.1395448133399341
123.5,-0.1323924106667608
126,-0.1254036325831916
128.5,-0.1190644717822752
131,-0.1143744661661386
133.5,-0.1126598062007997
136,-0.1135324320183535
138.5,-0.1149683481875118
141,-0.1220513036000457
143.5,-0.1258388554106207
146,-0.1311617743540987
148.5,-0.1331130094034033
151,-0.1370948671028754
153.5,-0.143645699863253
156,-0.1488887554191201
